,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,property_valuation,Rank,Value,age
169,Rebeca,Aggas,Female,66,1953-02-27,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,1,127,1.25,70.0
170,Caron,Kezar,Female,11,1953-08-08,Social Worker,Health,Mass Customer,N,No,5,40553 Rigney Avenue,2835,NSW,1,349,0.9875,70.0
171,Reinald,Bembrigg,Male,54,1953-08-21,Senior Financial Analyst,Financial Services,Affluent Customer,N,No,10,858 Portage Hill,2770,NSW,7,862,0.5525,70.0
172,Marie-jeanne,Breawood,Female,37,1953-10-12,Clinical Specialist,Health,High Net Worth,N,No,8,6 Prairieview Pass,2770,NSW,6,871,0.541875,70.0
173,Jacobo,Mucklow,Male,62,1952-12-04,Computer Systems Analyst I,Financial Services,High Net Worth,N,Yes,22,5512 Ronald Regan Hill,3122,VIC,8,530,0.82875,70.0
174,Hussein,Tapenden,Male,19,1953-10-19,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,8,349,0.9875,70.0
175,Nico,Chadwick,Male,97,1953-05-24,Research Assistant IV,Financial Services,Affluent Customer,N,No,13,355 Roxbury Lane,3190,VIC,8,526,0.833,70.0
176,Emeline,Vezey,Female,37,1953-08-07,Dental Hygienist,Health,Affluent Customer,N,Yes,19,2 Golden Leaf Parkway,3759,VIC,7,700,0.6875,70.0
177,Porter,Buckenhill,Male,46,1954-06-14,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,9,376 Talmadge Street,4124,QLD,7,386,0.945625,69.0
178,Jermaine,Bagshawe,Female,60,1954-05-14,Help Desk Operator,Property,Mass Customer,N,Yes,9,260 Briar Crest Drive,4209,QLD,6,988,0.3995,69.0
179,Angele,Cadore,Female,5,1954-09-06,Chief Design Engineer,Health,Mass Customer,N,Yes,7,85894 Amoth Court,4125,QLD,7,939,0.4675,69.0
180,Dukie,Swire,Male,88,1954-03-31,Accountant II,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,8,16,1.5625,69.0
181,Melloney,Temby,Female,17,1954-10-05,Budget/Accounting Analyst IV,Financial Services,Affluent Customer,N,Yes,15,33475 Fair Oaks Junction,4702,QLD,2,997,0.357,69.0
182,Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,10,19,1.53125,69.0
183,Hilliard,Dullard,Male,65,1954-07-18,Civil Engineer,Manufacturing,Mass Customer,N,No,17,37919 Old Gate Park,2163,NSW,8,409,0.925,69.0
184,Shellysheldon,Bichard,Male,96,1954-01-06,Desktop Support Technician,Financial Services,Mass Customer,N,Yes,16,7199 Springview Parkway,4503,QLD,5,634,0.7395,69.0
185,Sofie,Worsfold,Female,87,1954-10-06,Environmental Tech,Retail,Mass Customer,N,Yes,9,7 Maple Wood Plaza,4125,QLD,6,520,0.8375,69.0
186,Kamila,Parsonage,Female,80,1954-03-08,Analog Circuit Design manager,Property,Mass Customer,N,No,5,31 Mccormick Court,4131,QLD,8,562,0.81,69.0
187,Jodi,Lermit,Female,94,1954-01-30,Account Representative IV,Health,Mass Customer,N,Yes,10,05 Corry Center,4021,QLD,2,513,0.8415,69.0
188,Cordie,Brankley,Female,79,1954-09-21,Librarian,Entertainment,High Net Worth,N,No,18,46 Westerfield Place,2195,NSW,6,793,0.6109375,69.0
189,Antony,Tuma,Male,11,1954-03-10,Environmental Tech,Telecommunications,High Net Worth,N,Yes,13,93264 Almo Plaza,3078,VIC,10,526,0.833,69.0
190,Patrice,Pariss,Male,96,1954-06-15,VP Accounting,Financial Services,Mass Customer,N,No,9,3745 Thierer Trail,4078,QLD,5,691,0.690625,69.0
191,Renell,Earley,Female,5,1954-10-21,Compensation Analyst,Financial Services,Mass Customer,N,Yes,11,79 Manufacturers Plaza,4171,QLD,5,500,0.86,69.0
192,Andree,Breeds,Female,31,1954-10-19,Senior Editor,Financial Services,Affluent Customer,N,Yes,11,93 Scofield Pass,3152,VIC,6,637,0.7375,69.0
193,Maribeth,Stivani,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,8,226,1.1125,68.0
194,Manya,Abramovici,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,8,304,1.025,68.0
195,Jeanne,Darte,Female,70,1955-08-18,Unknown,Unknown,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,7,206,1.1375,68.0
196,Clari,Voas,Female,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,8,312,1.02,68.0
197,Deirdre,Burgoine,Female,14,1955-01-08,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,1,326,1.009375,68.0
198,Olive,Mozzi,Female,87,1955-07-06,Account Representative IV,Retail,Affluent Customer,N,Yes,20,26667 Rigney Place,2567,NSW,9,563,0.8075,68.0
199,Jim,Haddrell,Male,55,1955-04-08,Associate Professor,Financial Services,Mass Customer,N,No,9,53 Dryden Trail,2358,NSW,3,530,0.82875,68.0
200,Levin,Coxen,Male,13,1955-10-22,Accountant I,Property,Mass Customer,N,No,20,32 Hazelcrest Court,2753,NSW,8,594,0.78125,68.0
201,Maximilian,Geffen,Male,96,1955-07-13,Automation Specialist III,Manufacturing,Mass Customer,N,Yes,20,8634 Wayridge Pass,2750,NSW,8,606,0.765,68.0
202,Art,Carolan,Male,1,1954-11-09,Marketing Manager,Manufacturing,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,9,304,1.025,68.0
203,Sylas,Duffill,Male,56,1955-10-02,Staff Accountant IV,Property,Mass Customer,N,Yes,14,21875 Grover Drive,2010,NSW,9,1000,0.34,68.0
204,Lek,Pimblett,Male,88,1955-09-29,Product Engineer,Financial Services,Mass Customer,N,Yes,6,97 Merrick Center,2460,NSW,2,620,0.75,68.0
205,Alvira,Coulman,Female,42,1955-06-05,Account Representative II,Manufacturing,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,9,166,1.175,68.0
206,Gannie,Bargh,Male,56,1955-02-13,Analyst Programmer,Manufacturing,Mass Customer,N,Yes,13,1832 Burning Wood Place,3201,VIC,7,401,0.935,68.0
207,Reinaldos,Simmig,Male,55,1955-01-15,Nurse Practicioner,Manufacturing,High Net Worth,N,No,8,6112 Mariners Cove Park,3147,VIC,10,782,0.6205,68.0
208,Garik,Whitwell,Male,44,1955-06-13,Analog Circuit Design manager,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,2,38,1.4375,68.0
209,Loria,Tappington,Female,72,1955-09-06,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,8,174,1.16875,68.0
210,Gipsy,Ewestace,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,12,46,1.4078125,67.0
211,Benedict,Rosas,Male,73,1955-11-25,Actuary,Financial Services,High Net Worth,N,Yes,15,898 Muir Court,2142,NSW,6,563,0.8075,67.0
212,Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,1,46,1.4078125,67.0
213,Karrah,Howell,Female,63,1956-11-07,Civil Engineer,Manufacturing,Mass Customer,N,No,17,4897 Melody Road,2566,NSW,9,851,0.5625,67.0
214,Cobbie,Bruyett,Male,20,1956-03-19,Associate Professor,Manufacturing,Mass Customer,N,Yes,20,8593 Prairie Rose Way,2500,NSW,8,674,0.703125,67.0
215,Bertrando,Carass,Male,45,1956-06-25,Sales Associate,Property,Mass Customer,N,No,8,1 Quincy Road,2565,NSW,5,983,0.41,67.0
216,Rafi,Brettelle,Male,89,1956-08-12,Operator,Health,High Net Worth,N,No,6,11 Brickson Park Alley,2166,NSW,10,786,0.61625,67.0
217,Annabell,Downer,Female,33,1955-11-25,Budget/Accounting Analyst II,Manufacturing,Affluent Customer,N,No,20,8738 Lukken Terrace,2763,NSW,9,606,0.765,67.0
218,Elsworth,Abbitt,Male,71,1956-02-08,Account Representative IV,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,3,125,1.26171875,67.0
219,Philbert,Raraty,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,9,274,1.051875,67.0
220,Mariette,Unknown,Female,47,1956-07-05,Programmer II,Property,Affluent Customer,N,Yes,17,770 Farmco Point,2049,NSW,11,617,0.754375,67.0
221,Bartram,Caltun,Male,28,1956-09-15,Internal Auditor,Health,Affluent Customer,N,Yes,12,174 Farwell Point,2121,NSW,11,725,0.669375,67.0
222,Jackie,Pays,Male,21,1955-11-09,Developer I,Health,Mass Customer,N,No,9,75024 Ronald Regan Hill,2135,NSW,12,794,0.605625,67.0
223,Sawyer,Sponton,Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,11,166,1.175,67.0
224,Shay,Briand,Male,57,1956-10-05,Project Manager,IT,Mass Customer,N,Yes,9,1 Mandrake Way,3844,VIC,1,888,0.525,67.0
225,Vladimir,Westmerland,Male,18,1956-06-19,Accountant II,Manufacturing,Mass Customer,N,Yes,18,102 Charing Cross Terrace,2640,NSW,4,338,0.99609375,67.0
226,Irvine,Headon,Male,99,1956-04-21,Geologist III,IT,Affluent Customer,N,Yes,20,9 Hovde Way,2322,NSW,5,473,0.884,67.0
227,Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,7,78,1.3375,67.0
228,Free,Rowland,Male,42,1956-05-17,Unknown,Unknown,Mass Customer,N,Yes,12,24929 Spaight Junction,3796,VIC,8,520,0.8375,67.0
229,Skippie,Yearsley,Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,5,155,1.2,67.0
230,Shane,Killen,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,8,212,1.136875,67.0
231,Gretel,Paschke,Female,10,1956-05-29,Editor,Financial Services,Mass Customer,N,Yes,17,72 Melrose Street,4074,QLD,7,536,0.825,67.0
232,Paulina,Iannuzzelli,Female,57,1956-03-08,Automation Specialist I,Manufacturing,Mass Customer,N,No,19,097 Hollow Ridge Alley,2118,NSW,11,877,0.54,67.0
233,Kenneth,Elleyne,Male,13,1957-09-03,Technical Writer,Financial Services,Mass Customer,N,No,13,27429 Dottie Plaza,3145,VIC,11,361,0.9775,66.0
234,Francisca,Pottage,Female,63,1957-06-10,Software Engineer II,IT,Mass Customer,N,No,8,8600 Forster Lane,2177,NSW,9,615,0.7565,66.0
235,Adriena,Giffin,Female,27,1957-03-17,Analog Circuit Design manager,Argiculture,Affluent Customer,N,Yes,5,1 Manitowish Court,2259,NSW,9,888,0.525,66.0
236,Fey,Unknown,Female,48,1957-09-04,Research Nurse,Health,High Net Worth,N,Yes,11,77 Paget Park,3147,VIC,12,786,0.61625,66.0
237,Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,3,285,1.04125,66.0
238,Gallagher,Bromell,Male,18,1956-12-02,Assistant Manager,Health,Mass Customer,N,No,17,91634 Badeau Crossing,4556,QLD,8,349,0.9875,66.0
239,Aloysius,Killingsworth,Male,89,1957-02-14,VP Quality Control,Financial Services,Mass Customer,N,No,12,625 Mandrake Junction,2145,NSW,9,478,0.88,66.0
240,Nixie,Shoesmith,Female,45,1956-12-04,Junior Executive,Retail,Affluent Customer,N,No,12,77608 Donald Center,4516,QLD,6,672,0.70390625,66.0
241,Leeland,Unknown,Male,66,1957-01-24,VP Quality Control,Telecommunications,High Net Worth,N,No,12,9 Stephen Center,4122,QLD,4,845,0.563125,66.0
242,Dulce,Bradwell,Female,61,1957-07-03,Research Associate,Manufacturing,Mass Customer,N,No,20,30 Lukken Point,4159,QLD,9,926,0.4845,66.0
243,Audry,Fann,Female,3,1957-10-17,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,6,312,1.02,66.0
244,Claresta,MacConnulty,Female,6,1957-10-01,Recruiting Manager,Retail,Mass Customer,N,Yes,20,0516 Fremont Point,2026,NSW,9,366,0.975,66.0
245,Chickie,Brister,Male,86,1957-07-12,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,6,1,1.71875,66.0
246,Roseanne,Caruth,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,9,158,1.1875,66.0
247,Mabelle,Wellbelove,Female,76,1958-04-21,Accountant III,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,9,72,1.35,65.0
248,Mair,Erett,Female,15,1957-12-05,Speech Pathologist,Manufacturing,Affluent Customer,N,No,18,79 Armistice Parkway,2117,NSW,7,409,0.925,65.0
249,Sile,Zappel,Female,47,1958-03-29,Business Systems Development Analyst,IT,High Net Worth,N,No,15,44350 Buell Alley,4018,QLD,6,859,0.5578125,65.0
250,Clemmie,Bartoszewicz,Female,87,1958-07-28,Statistician IV,Financial Services,Mass Customer,N,No,8,727 Morrow Parkway,3197,VIC,9,865,0.55,65.0
251,Kyle,Michie,Female,6,1958-07-19,Nurse Practicioner,Retail,Mass Customer,N,Yes,10,07226 Anzinger Avenue,3032,VIC,8,595,0.775625,65.0
252,Catha,Davitt,Female,79,1958-04-16,Environmental Specialist,Property,High Net Worth,N,Yes,6,192 South Junction,2567,NSW,7,843,0.5695,65.0
253,Gabey,Kennicott,Female,55,1958-05-14,Developer I,Financial Services,Affluent Customer,N,No,17,8 Fordem Place,2322,NSW,6,552,0.816,65.0
254,Truman,Arlett,Male,58,1958-06-25,Technical Writer,Manufacturing,High Net Worth,N,Yes,16,3 Spohn Circle,2477,NSW,5,648,0.725,65.0
255,Caritta,Compston,Female,86,1958-04-25,Geological Engineer,Manufacturing,Mass Customer,N,Yes,17,48971 Marquette Point,3976,VIC,5,653,0.71875,65.0
256,Brook,Eade,Female,65,1957-11-17,Sales Representative,Retail,Mass Customer,N,Yes,8,58 Meadow Valley Court,2330,NSW,5,904,0.5,65.0
257,Sheilakathryn,Huff,Female,45,1958-05-15,Assistant Manager,Health,High Net Worth,N,Yes,14,04 Miller Drive,2477,NSW,6,921,0.49,65.0
258,Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,8,244,1.08375,65.0
259,Arel,Abramovitz,Male,72,1957-11-12,Nurse Practicioner,Health,Mass Customer,N,No,16,32249 Sycamore Way,4650,QLD,4,433,0.90625,65.0
260,Jenelle,Fearnill,Female,12,1958-01-03,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,9,206,1.1375,65.0
261,Justinn,Haruard,Female,48,1958-08-28,Health Coach IV,Health,High Net Worth,N,No,11,00 Judy Terrace,2035,NSW,12,414,0.924375,65.0
262,Garwin,Nurden,Male,54,1958-04-19,Programmer I,Property,High Net Worth,N,Yes,5,0 Union Parkway,3142,VIC,11,444,0.9,65.0
263,Thaddus,Joder,Male,31,1957-12-10,Accountant II,Manufacturing,Mass Customer,N,No,7,27185 Fisk Drive,2290,NSW,8,698,0.69,65.0
264,Giselbert,Pickring,Male,94,1959-07-28,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,20,653 2nd Park,2766,NSW,8,662,0.711875,64.0
265,Engracia,Dobbs,Female,84,1959-04-19,Account Representative IV,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,8,202,1.140625,64.0
266,Dimitri,Tribbeck,Male,89,1958-12-07,Chief Design Engineer,Health,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,6,291,1.0359375,64.0
267,Gerik,Woodroof,Male,18,1959-06-13,Paralegal,Financial Services,High Net Worth,N,Yes,9,41 Kropf Road,3175,VIC,7,366,0.975,64.0
268,Weidar,Etheridge,Male,38,1959-07-13,Compensation Analyst,Financial Services,Mass Customer,N,Yes,6,0535 Jay Point,2422,NSW,4,994,0.3825,64.0
269,Debbi,Dannatt,Female,2,1958-12-28,Technical Writer,Manufacturing,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,10,287,1.04,64.0
270,Rickert,Brasted,Male,47,1959-09-18,Staff Scientist,Health,Mass Customer,N,No,10,20 Hoffman Park,2145,NSW,9,898,0.5125,64.0
271,Dexter,Shutle,Male,81,1959-01-05,Quality Control Specialist,Manufacturing,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,7,284,1.046875,64.0
272,Ingmar,Okenden,Male,97,1959-03-01,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8,1 Graceland Plaza,3216,VIC,2,478,0.88,64.0
273,Alfi,Sabbins,Female,63,1959-06-12,Accountant III,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,3,304,1.025,64.0
274,Consalve,Ballay,Male,41,1959-09-18,Web Developer I,IT,Mass Customer,N,Yes,7,72 Village Terrace,2250,NSW,8,987,0.4,64.0
275,Ferdinand,Romanetti,Male,60,1959-10-07,Paralegal,Financial Services,Affluent Customer,N,No,9,2 Sloan Way,2200,NSW,7,996,0.374,64.0
276,Markus,Pendrey,Male,88,1959-08-01,Clinical Specialist,Health,Affluent Customer,N,Yes,12,2382 Anthes Crossing,2153,NSW,10,859,0.5578125,64.0
277,Delly,Sunman,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,12,252,1.073125,64.0
278,Ted,Izacenko,Male,3,1959-08-01,Librarian,Entertainment,High Net Worth,N,No,9,2 Shasta Place,3130,VIC,10,668,0.7055,64.0
279,Kathe,Oller,Female,47,1959-08-20,General Manager,Manufacturing,Mass Customer,N,Yes,5,817 Loftsgordon Road,3029,VIC,4,926,0.4845,64.0
280,Nanni,Girodias,Female,61,1959-01-08,Analyst Programmer,Retail,High Net Worth,N,No,16,74 Shopko Pass,2161,NSW,9,617,0.754375,64.0
281,Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,9,241,1.0875,64.0
282,Kippar,Whyatt,Male,13,1960-01-21,Analog Circuit Design manager,Property,Mass Customer,N,No,10,264 Valley Edge Pass,2259,NSW,7,666,0.71,63.0
283,Trudie,Phinnessy,Female,45,1960-07-04,Accountant III,Financial Services,Mass Customer,N,Yes,15,077 Dennis Lane,3030,VIC,9,751,0.648125,63.0
284,Tillie,Bisseker,Female,74,1960-08-10,Civil Engineer,Manufacturing,High Net Worth,N,No,14,59208 Barnett Avenue,2104,NSW,12,967,0.435625,63.0
285,Romonda,Hallt,Female,69,1960-05-09,Operator,IT,Affluent Customer,N,No,15,703 Ludington Plaza,2480,NSW,4,498,0.860625,63.0
286,Ahmed,Pickthorne,Male,46,1959-12-25,Marketing Manager,Manufacturing,High Net Worth,N,Yes,15,50 American Street,2147,NSW,9,329,1.0,63.0
287,Gerta,Porrett,Female,46,1959-11-13,Registered Nurse,Health,High Net Worth,N,No,12,074 Badeau Crossing,3250,VIC,2,851,0.5625,63.0
288,Sharline,Abyss,Female,11,1960-03-18,Unknown,Unknown,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,4,133,1.2375,63.0
289,Morgen,Newport,Female,5,1960-08-31,Project Manager,Manufacturing,Mass Customer,N,No,6,9 Washington Center,3340,VIC,4,930,0.478125,63.0
290,Rowen,Sollas,Male,38,1960-04-23,Dental Hygienist,Health,Mass Customer,N,No,5,4 Anzinger Street,4556,QLD,8,817,0.5865,63.0
291,Xenia,Maleck,Female,41,1960-02-14,VP Product Management,Telecommunications,Mass Customer,N,No,12,5 Southridge Hill,3029,VIC,7,666,0.71,63.0
292,Cazzie,Stanwix,Male,37,1960-10-01,Research Assistant IV,Manufacturing,High Net Worth,N,Yes,11,6026 Mallory Drive,4561,QLD,7,760,0.6375,63.0
293,Reginald,Jermy,Male,7,1960-09-12,Director of Sales,Property,High Net Worth,N,Yes,20,540 Katie Street,4128,QLD,8,375,0.96,63.0
294,Ardis,Taree,Female,97,1960-04-12,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,5,0 Emmet Trail,4128,QLD,9,625,0.748,63.0
295,Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,9,77,1.34140625,62.0
296,Terrel,Keynd,Male,30,1961-04-20,Junior Executive,Manufacturing,Mass Customer,N,No,9,65 David Pass,4221,QLD,7,626,0.74375,62.0
297,David,Napoleon,Male,72,1961-11-05,Structural Engineer,Manufacturing,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,11,111,1.28125,62.0
298,Aridatha,Sephton,Female,95,1961-10-22,Human Resources Assistant II,Property,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,1,104,1.2875,62.0
299,Dorolice,Osmon,Female,46,1961-01-15,Accountant III,Financial Services,Affluent Customer,N,No,15,602 Clove Center,3046,VIC,6,810,0.5875,62.0
300,Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,10,85,1.325,62.0
301,Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,6,104,1.2875,62.0
302,Josepha,Clamp,Female,12,1961-11-03,Marketing Manager,Manufacturing,High Net Worth,N,No,12,2 Harper Junction,2069,NSW,12,698,0.69,62.0
303,Eddy,Sturch,Male,22,1961-02-11,Software Consultant,Financial Services,High Net Worth,N,Yes,17,1 Kinsman Crossing,4158,QLD,6,345,0.988125,62.0
304,Rhona,De Freyne,Female,45,1960-11-22,Account Representative IV,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,10,30,1.4609375,62.0
305,Harman,A'field,Male,39,1960-12-27,Geologist III,Manufacturing,Affluent Customer,N,Yes,6,31815 Vermont Drive,4227,QLD,5,913,0.499375,62.0
306,Harman,Lynds,Male,4,1961-05-27,Professor,Manufacturing,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,8,240,1.09,62.0
307,Hildegarde,Bamb,Female,16,1961-02-10,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,10,5070 Division Parkway,3910,VIC,9,913,0.499375,62.0
308,Bartram,Di Lucia,Male,70,1961-01-03,Analog Circuit Design manager,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,3,271,1.06,62.0
309,Nora,Anselm,Female,84,1961-01-05,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,5,396,0.9375,62.0
310,George,Jose,Male,68,1960-12-19,Payment Adjustment Coordinator,Retail,High Net Worth,N,Yes,20,535 Corben Point,4680,QLD,4,504,0.85,62.0
311,Kizzee,Kemston,Female,11,1961-09-29,Account Representative IV,Health,Mass Customer,N,No,13,5979 Green Ridge Way,2767,NSW,8,386,0.945625,62.0
312,Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,7,26,1.46875,62.0
313,Fabio,Commuzzo,Male,5,1961-10-02,Software Test Engineer II,Manufacturing,Mass Customer,N,No,18,66 Shopko Circle,3806,VIC,8,896,0.52,62.0
314,Feodor,Englishby,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,5,154,1.203125,62.0
315,Huberto,Mollatt,Male,82,1961-08-27,Programmer IV,Manufacturing,Mass Customer,N,Yes,14,31121 Pierstorff Center,2770,NSW,7,483,0.8765625,62.0
316,Laurena,Unknown,Female,21,1961-07-31,VP Sales,Financial Services,High Net Worth,N,No,10,7 Messerschmidt Crossing,3810,VIC,6,455,0.8925,62.0
317,Lotty,Loach,Female,76,1961-08-23,Nurse,Health,High Net Worth,N,Yes,7,78451 South Street,2380,NSW,3,871,0.541875,62.0
318,Garreth,Minett,Male,93,1961-05-23,Physical Therapy Assistant,Retail,Affluent Customer,N,Yes,10,21667 Randy Crossing,3163,VIC,7,604,0.765,62.0
319,Mycah,Beaston,Male,11,1961-07-31,Environmental Specialist,Health,High Net Worth,N,Yes,12,2 Mandrake Street,2221,NSW,11,865,0.55,62.0
320,Sharai,Priddie,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,9,252,1.073125,62.0
321,Malvin,Ryhorovich,Male,37,1962-03-03,Quality Control Specialist,Manufacturing,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,3,252,1.073125,61.0
322,Sibylla,Kibble,Female,73,1962-08-05,Pharmacist,Health,High Net Worth,N,No,12,3 Ruskin Hill,2122,NSW,9,676,0.70125,61.0
323,Halette,Borsi,Female,60,1961-12-10,Research Nurse,Health,Affluent Customer,N,Yes,16,356 Pennsylvania Point,2128,NSW,9,725,0.669375,61.0
324,Noami,Cokly,Female,74,1962-09-17,Accountant II,Manufacturing,Mass Customer,N,Yes,15,2886 Buena Vista Terrace,2038,NSW,11,954,0.45,61.0
325,Riki,Wandtke,Female,25,1962-05-12,Librarian,Entertainment,Mass Customer,N,Yes,5,435 Mitchell Street,4115,QLD,7,748,0.65078125,61.0
326,Denys,Minshall,Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,8,152,1.221875,61.0
327,Aurie,Rhead,Female,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,2,127,1.25,61.0
328,Dominick,Asher,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,9,278,1.05,61.0
329,Irvin,Bevans,Male,82,1962-07-12,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,No,12,5880 Hauk Street,2046,NSW,11,644,0.73046875,61.0
330,Demetria,Bausor,Female,73,1961-12-22,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,9,97 Transport Plaza,2097,NSW,12,396,0.9375,61.0
331,Dorie,Dunleavy,Female,24,1962-05-05,Registered Nurse,Health,Affluent Customer,N,No,12,1 Mcguire Lane,3356,VIC,4,830,0.578,61.0
332,Lissa,Gawn,Female,86,1962-09-21,Legal Assistant,Health,Mass Customer,N,Yes,17,14183 Iowa Center,4503,QLD,5,632,0.74,61.0
333,Teodor,Mullinder,Male,56,1962-08-26,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,11,43 Pond Junction,3216,VIC,5,832,0.575,61.0
334,Brooke,Arling,Male,76,1961-12-05,Unknown,Unknown,High Net Worth,N,No,6,6 Melby Center,3027,VIC,5,44,1.42109375,61.0
335,Whit,Emloch,Male,30,1963-08-20,Food Chemist,Health,Mass Customer,N,Yes,6,105 Carpenter Court,2220,NSW,9,372,0.966875,60.0
336,Bill,Unknown,Female,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,9,155,1.2,60.0
337,Jamie,Jiruca,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,9,104,1.2875,60.0
338,Gabrila,Toopin,Female,7,1963-01-14,Junior Executive,Manufacturing,Mass Customer,N,No,12,1914 Oakridge Place,2456,NSW,6,378,0.95625,60.0
